"filename", "language", "PHP", "JSON", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 22, 67
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Console\Kernel.php", "PHP", 17, 0, 0, 0, 0, 0, 13, 7, 37
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Administrador\UsersController.php", "PHP", 152, 0, 0, 0, 0, 0, 34, 32, 218
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 42, 0, 0, 0, 0, 0, 14, 18, 74
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 28, 0, 0, 0, 0, 0, 6, 7, 41
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 3, 6, 25
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 15, 0, 0, 0, 0, 0, 3, 4, 22
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 41, 0, 0, 0, 0, 0, 14, 8, 63
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\PasswordController.php", "PHP", 21, 0, 0, 0, 0, 0, 3, 6, 30
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 27, 0, 0, 0, 0, 0, 11, 7, 45
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 34, 0, 0, 0, 0, 0, 8, 9, 51
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 19, 0, 0, 0, 0, 0, 3, 6, 28
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 1, 3, 9
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\ProfileController.php", "PHP", 38, 0, 0, 0, 0, 0, 9, 14, 61
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Superadmin\CompanyController.php", "PHP", 64, 0, 0, 0, 0, 0, 2, 19, 85
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Controllers\Superadmin\UsersController.php", "PHP", 113, 0, 0, 0, 0, 0, 30, 28, 171
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Kernel.php", "PHP", 40, 0, 0, 0, 0, 0, 18, 7, 65
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Middleware\CheckRole.php", "PHP", 19, 0, 0, 0, 0, 0, 13, 8, 40
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Requests\Auth\LoginRequest.php", "PHP", 51, 0, 0, 0, 0, 0, 21, 14, 86
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 22, 0, 0, 0, 0, 0, 5, 4, 31
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\Category.php", "PHP", 22, 0, 0, 0, 0, 0, 3, 7, 32
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\Company.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 7, 25
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\IvaRate.php", "PHP", 17, 0, 0, 0, 0, 0, 3, 5, 25
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\app\Models\Product.php", "PHP", 40, 0, 0, 0, 0, 0, 4, 8, 52
